,Country Name,Time,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],Age dependency ratio (% of working-age population) [SP.POP.DPND],"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]",Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",Fixed broadband subscriptions (per 100 people) [IT.NET.BBND.P2],Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]",Individuals using the Internet (% of population) [IT.NET.USER.ZS],Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],"People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]","People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",Prevalence of anemia among children (% of children under 5) [SH.ANM.CHLD.ZS],Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],"Self-employed, female (% of female employment) (modeled ILO estimate) [SL.EMP.SELF.FE.ZS]","Wage and salaried workers, female (% of female employment) (modeled ILO estimate) [SL.EMP.WORK.FE.ZS]",Life expectancy at birth (years)
0,Afghanistan,2016,AFG,97.7,465.8415828,87.94179015,36.4,61.45128632,4.8,0.024873504,0.322730963,571.0737745,570,11.2,3.330913861,64.28648363,54.84053165,92.59413481,59.9219787,46.4,12.03963652,93.58699799,6.413000107,Low
3,Angola,2016,AGO,40.62452698,1949.11468,97.29458812,63.4,95.22080231,5.686,0.293747187,1.055709859,3530.309423,3770,13,1.501205426,55.08427629,27.07967323,70.73522869,63.33675598,50.9,8.321058616,82.67299652,17.32699966,Low
1,Albania,2016,ALB,100,3776.111694,45.64503371,2.9,..,1.659,9.228640975,8.614077281,4681.840039,4320,66.3634447,0.027187058,91.02037015,89.87517388,91.8354214,98.28801438,24.9,144.6402612,56.6230011,43.3769989,High
172,United Arab Emirates,2016,ARE,100,35465.40518,18.16490433,6.5,1310.923096,1.491,13.86163628,24.41847969,41045.11112,40570,90.60000732,0.005711886,97.40736883,..,..,..,27.2,938.6837703,1.307999969,98.69200134,High
5,Argentina,2016,ARG,99.9668808,11006.02931,56.10227058,15.9,959.2915649,2.288,16.60166322,23.36292528,10239.48135,12220,70.96898082,0.095582587,99.07837465,92.98366005,99.63532288,95.85623215,22.2,735.0247651,20.79500008,79.20500183,High
6,Armenia,2016,ARM,100,3084.605658,45.43115767,2.8,358.8421021,1.744,10.18921762,18.10620259,3917.379676,3760,64.34602977,0.050547865,99.89853557,100,99.83915471,99.58759699,31.5,189.7044629,40.95800018,59.04199982,Medium
4,Antigua and Barbuda,2016,ATG,100,..,44.44172792,11.9,632.175354,2.003,9.7972008,23.80695463,13917.95112,13460,73,0.083550562,96.73918628,..,..,..,32.3,804.0030891,..,..,Medium
7,Australia,2016,AUS,100,38660.73451,51.72993235,4.6,4999.810547,1.752,30.39231558,34.95075077,55728.68446,54140,86.54,0.012334616,99.96997202,100,99.965,..,13.9,9810.215053,12.59399986,87.40599823,High
8,Austria,2016,AUT,100,37002.0496,49.43171196,2.6,4718.944336,1.53,28.84661223,40.78057906,48259.9376,46220,84.32374257,0.007393349,100,100,100,99.95650379,12.6,4449.980244,10.03999996,89.95999908,High
9,Azerbaijan,2016,AZE,100,2994.07077,40.79124821,8.8,259.4368591,1.9,18.52561662,17.46328565,5812.584374,4760,78.2,0.060127104,90.71031547,80.42725498,99.116593,96.44327863,23.9,101.8670989,72.71299744,27.28700066,Medium
